,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
738,739,The Imitation Game,"$233,555,708","$91,125,683",39%,"$142,430,025",61%,2014
739,740,Cruella,"$233,503,234","$86,103,234",36.9%,"$147,400,000",63.1%,2021
740,741,The Day the Earth Stood Still,"$233,093,859","$79,366,978",34%,"$153,726,881",66%,2008
741,742,American Wedding,"$232,722,935","$104,565,114",44.9%,"$128,157,821",55.1%,2003
742,743,The Girl with the Dragon Tattoo,"$232,617,430","$102,515,793",44.1%,"$130,101,637",55.9%,2011
743,744,Juno,"$232,372,830","$143,495,265",61.8%,"$88,877,565",38.2%,2007
744,745,Argo,"$232,325,503","$136,025,503",58.6%,"$96,300,000",41.4%,2012
745,746,Mr. Bean's Holiday,"$232,225,908","$33,302,167",14.3%,"$198,923,741",85.7%,2007
746,747,The English Patient,"$231,976,425","$78,676,425",33.9%,"$153,300,000",66.1%,1996
747,748,Sister Act,"$231,605,150","$139,605,150",60.3%,"$92,000,000",39.7%,1992
748,749,Annabelle Comes Home,"$231,252,591","$74,152,591",32.1%,"$157,100,000",67.9%,2019
749,750,Constantine,"$230,884,728","$75,976,178",32.9%,"$154,908,550",67.1%,2005
750,751,Get Smart,"$230,685,453","$130,319,208",56.5%,"$100,366,245",43.5%,2008
751,752,Space Jam,"$230,594,962","$90,594,962",39.3%,"$140,000,000",60.7%,1996
752,753,Life Is Beautiful,"$230,099,013","$57,563,264",25%,"$172,535,749",75%,1998
753,754,The Heat,"$229,930,771","$159,582,188",69.4%,"$70,348,583",30.6%,2013
754,755,Ghostbusters,"$229,147,509","$128,350,574",56%,"$100,796,935",44%,2016
755,756,Elf,"$228,936,304","$178,053,220",77.8%,"$50,883,084",22.2%,2003
756,757,Ghost Rider,"$228,738,393","$115,802,596",50.6%,"$112,935,797",49.4%,2007
757,758,Goodbye Mr. Loser,"$228,122,928","$1,293,626",0.6%,"$226,829,302",99.4%,2015
758,759,Sleepless in Seattle,"$227,927,165","$126,808,165",55.6%,"$101,119,000",44.4%,1993
759,760,Lethal Weapon 2,"$227,853,986","$147,253,986",64.6%,"$80,600,000",35.4%,1989
760,761,The Green Hornet,"$227,817,248","$98,780,042",43.4%,"$129,037,206",56.6%,2011
761,762,Out of Africa,"$227,514,205","$87,071,205",38.3%,"$140,443,000",61.7%,1985
762,763,Paddington 2,"$227,309,407","$40,907,738",18%,"$186,401,669",82%,2017
763,764,Youth,"$227,091,290","$1,891,956",0.8%,"$225,199,334",99.2%,2017
