,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
1350,1351,Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%,2022
1351,1352,Last Action Hero,"$137,298,489","$50,016,394",36.4%,"$87,282,095",63.6%,1993
1352,1353,The First Purge,"$137,056,262","$69,488,745",50.7%,"$67,567,517",49.3%,2018
1353,1354,Conspiracy Theory,"$136,982,834","$75,982,834",55.5%,"$61,000,000",44.5%,1997
1354,1355,Anaconda,"$136,885,767","$65,885,767",48.1%,"$71,000,000",51.9%,1997
1355,1356,The Wind Rises,"$136,864,780","$5,209,580",3.8%,"$131,655,200",96.2%,2012
1356,1357,The Godfather Part III,"$136,861,392","$66,761,392",48.8%,"$70,100,000",51.2%,1990
1357,1358,Annie,"$136,853,506","$85,911,262",62.8%,"$50,942,244",37.2%,2014
1358,1359,How Long Will I Love U,"$136,796,719","$746,933",0.6%,"$136,049,786",99.4%,2018
1359,1360,Remember the Titans,"$136,771,683","$115,719,751",84.6%,"$21,051,932",15.4%,2000
1360,1361,Skiptrace,"$136,579,287",-,-,"$136,579,287",100%,2016
1361,1362,Tom & Jerry,"$136,536,687","$46,536,687",34.1%,"$90,000,000",65.9%,2021
1362,1363,Contagion,"$136,515,867","$75,658,097",55.4%,"$60,857,770",44.6%,2011
1363,1364,The Bounty Hunter,"$136,333,522","$67,061,228",49.2%,"$69,272,294",50.8%,2010
1364,1365,17 Again,"$136,316,880","$64,167,069",47.1%,"$72,149,811",52.9%,2009
1365,1366,The Exorcist: Believer,"$136,284,218","$65,537,395",48.1%,"$70,746,823",51.9%,2023
1366,1367,Lost in Space,"$136,159,423","$69,117,629",50.8%,"$67,041,794",49.2%,1998
1367,1368,Saw 3D,"$136,151,680","$45,710,178",33.6%,"$90,441,502",66.4%,2010
1368,1369,Unknown,"$135,710,029","$63,686,397",46.9%,"$72,023,632",53.1%,2011
1369,1370,Jack Ryan: Shadow Recruit,"$135,503,748","$50,577,412",37.3%,"$84,926,336",62.7%,2014
1370,1371,Babel,"$135,330,835","$34,302,837",25.4%,"$101,027,998",74.6%,2006
1371,1372,A Perfect World,"$135,130,999","$31,130,999",23%,"$104,000,000",77%,1993
1372,1373,Perfume: The Story of a Murderer,"$135,039,924","$2,223,293",1.6%,"$132,816,631",98.4%,2006
1373,1374,American Made,"$134,866,593","$51,342,000",38.1%,"$83,524,593",61.9%,2017
1374,1375,Wall Street: Money Never Sleeps,"$134,748,021","$52,474,616",38.9%,"$82,273,405",61.1%,2010
1375,1376,The Princess Diaries 2: Royal Engagement,"$134,734,481","$95,170,481",70.6%,"$39,564,000",29.4%,2004
1376,1377,V for Vendetta,"$134,686,457","$70,511,035",52.4%,"$64,175,422",47.6%,2006
1377,1378,Sense and Sensibility,"$134,582,776","$43,182,776",32.1%,"$91,400,000",67.9%,1995
1378,1379,Last Vegas,"$134,410,488","$63,914,167",47.6%,"$70,496,321",52.4%,2012
1379,1380,Inspector Gadget,"$134,403,112","$97,403,112",72.5%,"$37,000,000",27.5%,1999
1380,1381,Black Rain,"$134,212,055","$46,212,055",34.4%,"$88,000,000",65.6%,1989
1381,1382,Scent of a Woman,"$134,095,253","$63,095,253",47%,"$71,000,000",53%,1992
1382,1383,Shazam! Fury of the Gods,"$134,038,006","$57,638,006",43%,"$76,400,000",57%,2023
1383,1384,The Cat in the Hat,"$133,960,541","$101,149,285",75.5%,"$32,811,256",24.5%,2003
1384,1385,Pokémon the Movie 2000,"$133,949,270","$43,758,684",32.7%,"$90,190,586",67.3%,2000
1385,1386,Point Break,"$133,782,481","$28,782,481",21.5%,"$105,000,000",78.5%,2015
1386,1387,Hot Shots! Part Deux,"$133,752,825","$38,922,972",29.1%,"$94,829,853",70.9%,1993
1387,1388,The Artist,"$133,471,171","$44,671,682",33.5%,"$88,799,489",66.5%,2011
1388,1389,The Big Short,"$133,440,870","$70,259,870",52.6%,"$63,181,000",47.4%,2015
1389,1390,Halloween Kills,"$133,423,964","$92,002,155",69%,"$41,421,809",31%,2021
1390,1391,The Peanut Butter Falcon,"$133,031,473","$20,457,151",15.4%,"$112,574,322",84.6%,2019
1391,1392,1408,"$132,963,417","$71,985,628",54.1%,"$60,977,789",45.9%,2007
1392,1393,Zero Dark Thirty,"$132,820,716","$95,720,716",72.1%,"$37,100,000",27.9%,2012
1393,1394,A Wrinkle in Time,"$132,675,864","$100,478,608",75.7%,"$32,197,256",24.3%,2018
1394,1395,Ghost Rider: Spirit of Vengeance,"$132,563,930","$51,774,002",39.1%,"$80,789,928",60.9%,2012
1395,1396,A League of Their Own,"$132,440,069","$107,533,928",81.2%,"$24,906,141",18.8%,1992
1396,1397,Be Somebody,"$132,326,332",-,-,"$132,326,332",100%,2021
1397,1398,The Three Musketeers,"$132,274,484","$20,374,484",15.4%,"$111,900,000",84.6%,2011
1398,1399,Suzume,"$132,181,655","$10,932,037",8.3%,"$121,249,618",91.7%,2022
1399,1400,Blade: Trinity,"$131,977,904","$52,411,906",39.7%,"$79,565,998",60.3%,2004
